,Month,MKL,CO2inc,CO2fix
0,1,5.6129999999999995,6.95881674898901,5.295966454668898
1,2,5.229666666666668,3.712180007959303,2.576592184505404
2,3,4.157,1.5449415544711358,1.0709528923970244
3,4,4.367666666666667,0.6860139056802069,0.4130223955210621
4,5,8.275666666666666,2.82254472298369,2.0560337530372483
5,6,9.406,8.405376054754813,6.896040743412492
6,7,9.961666666666668,10.820087569353245,9.168935204817826
7,8,9.846666666666668,10.782566409745174,9.119646574400331
8,9,9.885,10.532259406972694,8.857324610562085
9,10,9.673999999999998,10.166841616097107,8.287045556507564
10,11,7.681666666666667,9.318313081432494,7.460105898986745
11,12,6.226,8.33512936893119,6.605400743821986
