,Year,aCO2,GPP,NPP,NPPw
0,1950,312.8213518990411,2.3400738586982093,0.8783452899660915,0.46198619296956167
1,1951,313.01445155673554,2.557225029915571,0.9892749808883915,0.5348598750389139
2,1952,313.3426293267144,2.5310550717016063,0.9475845222671827,0.49500441528246597
3,1953,313.7306187947591,2.9385911226272583,1.141802042722702,0.6605027899495326
4,1954,314.09553146362305,2.281039192030827,0.8134177091221014,0.3906690423532571
5,1955,314.4155101776123,2.443731915205717,0.9348097331821918,0.4819573783092797
6,1956,314.69845422108966,2.4609076691170535,0.9677422071496645,0.5121337933537262
7,1957,314.99255318111847,2.62245504061381,0.9611933780834079,0.5077799224453278
8,1958,315.34559377034503,2.2012565564364195,0.7448442678044861,0.2993810077201478
9,1959,315.80803955925836,2.476510530958573,0.8717077678690354,0.44908386648791065
10,1960,316.626155005561,2.0021244157105684,0.672532957047224,0.31429847130055083
11,1961,317.3000818888346,2.332074075937271,0.8770999660094579,0.45637920998701514
12,1962,318.04504733615454,2.3778228840480247,0.8981696168581644,0.45311261174488965
13,1963,318.65099779764813,1.9032550094028313,0.6486578726520141,0.3079078001713735
14,1964,319.33377181159125,2.645576429863771,1.0247386917471886,0.5380871160220219
15,1965,319.8171832826402,2.6449973781903586,0.9821442766115069,0.5101055297691346
16,1966,320.88139088948566,2.4767454775671163,0.8860416983564695,0.44892925530354927
17,1967,321.48096222347687,2.4878536413113275,0.9054399381081263,0.45322232449547073
18,1968,322.39035012986926,2.257342324902614,0.7679632616539797,0.36036266530506583
19,1969,323.2528330485026,2.2134916549548507,0.8108638127644857,0.3920292474752974
20,1970,324.78471650017633,2.6485837226112685,1.033698068310817,0.5430531710159888
21,1971,325.40127817789715,2.2497963358958564,0.784287174542745,0.3213018207023879
22,1972,327.35299004448785,1.439841380963723,0.34395909681916237,0.0777866751182709
23,1973,329.91154903835724,2.7116134415070214,1.0160956357916195,0.4977556616907653
24,1974,330.7562237845527,2.2248197346925735,0.8192268864562114,0.42733507657200676
25,1975,330.8274408976237,2.3246228943268457,0.8443227478613456,0.4398094457918944
26,1976,331.5469751358033,2.5623956893881163,1.0123031282176573,0.5411915238940518
27,1977,333.3558118608263,1.6224078312516212,0.4304101203257839,0.14274348007239723
28,1978,335.0120798746745,1.8855988644063473,0.6475891421238581,0.2661149485095251
29,1979,336.607841597663,1.4015864245593548,0.3478426313959062,0.07388672545715735
30,1980,338.70778157975934,2.0253543021778264,0.7447452433407307,0.3869688119334332
31,1981,340.0600624084472,2.766275256872177,1.1553671676665545,0.6440312934111413
32,1982,340.6454147762723,2.2015086760123572,0.8212024370829264,0.3804275256583575
33,1983,342.26883909437396,2.246124834443132,0.8545388877391815,0.4400807124858848
34,1984,344.0100381639268,2.296154662966728,0.8713598536948363,0.4140349824995913
35,1985,345.46117358737524,2.2776042707264423,0.8872527022225162,0.487420487416685
36,1986,346.905253622267,2.649429568399986,1.0365392503639062,0.5387056002333187
37,1987,348.7783957587348,2.248869185646375,0.8109552375972271,0.40137419986319856
38,1988,351.27925756242536,2.992259676257769,1.2187614490588505,0.7018825143444852
39,1989,352.89565722147626,2.1082154208173356,0.7361557456509521,0.3494896858454884
40,1990,354.0747834311591,2.284642532467842,0.8234700945516428,0.42427810967103596
41,1991,355.3546787897746,1.391139501084884,0.29492882809912163,0.04367777078600928
42,1992,356.23003376854786,2.1222120663151145,0.7930889278650284,0.3688625461259812
43,1993,356.9263599183824,1.9873145620028179,0.6933461173127095,0.28837740513095395
44,1994,358.25674470265716,2.7310545990864434,1.0763182702163856,0.5798742667169942
45,1995,360.2417371537951,2.390810720001658,0.9408165775239468,0.514341410841484
46,1996,362.0070615344577,2.907075174152851,1.207373756294449,0.6703461961902235
47,1997,363.2543643315633,2.797318256149689,1.0732632080713909,0.5525391317345907
48,1998,365.9375132454766,2.319910870244106,0.8530214304725329,0.4520205412255791
49,1999,367.8464946746826,2.8680811375379562,1.180883492032687,0.6507540001115331
50,2000,369.1270632214016,3.0170327524344125,1.227612730115652,0.6849448984206296
51,2001,370.67555099063446,2.6049468951920667,0.9928555066386858,0.5224095922648644
52,2002,372.8386561075847,2.5362635062386594,0.9588448678453764,0.5025247397636292
53,2003,375.4140743679471,2.953403577208519,1.1849036728963256,0.6448870023599133
54,2004,376.98918321397565,2.136279981272916,0.7427070622021953,0.3241337198859829
55,2005,378.91020520528156,2.101417373865843,0.6991503338019053,0.30244504990887816
56,2006,381.01265324486627,2.7758353215952716,1.107054827734828,0.5897553761866069
57,2007,382.6056297090318,2.6381336469203234,1.037008022268613,0.54775424810533
58,2008,384.74196698930535,2.8370531077186265,1.1705408735821645,0.6394332404347361
59,2009,386.2823475731744,2.7691600111623607,1.097827102523297,0.5920334566564899
60,2010,388.72117222679987,2.3631757758557796,0.8524194732308388,0.43110858641315036
