,OBS,inCO2,exCO2
Trend,95.83437396261412,81.56699889607498,-2.730548324732296
pct5,82.2016033669676,74.8179619441045,-9.119031893153478
pct95,109.46714455826063,88.31603584804547,3.657935243688887
