,OBS,inCO2,exCO2
Trend,82.56444914365694,75.64875425538872,-8.936023730159137
pct5,67.91462062434873,70.53942405774598,-14.102965610713241
pct95,97.21427766296515,80.75808445303149,-3.7690818496050333
